门店名称,系统名称,大区,小区,省名称,地城市,渠道
常德大润发商业有限公司,大润发常德武陵店,南区,湖广区,湖南,常德,大润发
沃尔玛郴州伍岭店2015,沃尔玛郴州五岭路店,南区,湖广区,湖南,郴州,沃尔玛
沃尔玛冷水江店,沃尔玛娄底东苑国际店,南区,湖广区,湖南,娄底,沃尔玛
沃尔玛五江店,沃尔玛娄底大汉路店,南区,湖广区,湖南,娄底,沃尔玛
沃尔玛娄底购物广场,沃尔玛娄底春园商业步行街店,南区,湖广区,湖南,娄底,沃尔玛
沃尔玛邵阳宝庆路店,沃尔玛邵阳市宝庆东路分店,南区,湖广区,湖南,邵阳,沃尔玛
沃尔玛新化店,沃尔玛娄底新化店,南区,湖广区,湖南,新化,沃尔玛
沃尔玛益阳购物广场店2025,沃尔玛益阳桃花伦西路店,南区,湖广区,湖南,益阳,沃尔玛
岳阳大润发商业有限公司,大润发岳阳青年路店,南区,湖广区,湖南,岳阳,大润发
沃尔玛岳阳巴陵中路分店,沃尔玛岳阳巴陵中路店,南区,湖广区,湖南,岳阳,沃尔玛
浏阳大润发商业有限公司,大润发长沙浏阳店,南区,湖广区,湖南,长沙,大润发
长沙宁乡润福商业有限公司,大润发长沙宁乡店,南区,湖广区,湖南,长沙,大润发
昆山润华商业有限公司长沙分公司,大润发长沙高桥店,南区,湖广区,湖南,长沙,大润发
沃尔玛长沙观沙路分店,沃尔玛长沙观沙岭店,南区,湖广区,湖南,长沙,沃尔玛
沃尔玛（湖南）商业零售有限公司长沙福元西路分店,沃尔玛长沙开福店,南区,湖广区,湖南,长沙,沃尔玛
湖南长沙市--永辉星沙松雅湖店,永辉长沙松雅湖新城吾悦广场店,南区,湖广区,湖南,长沙,永辉
沃尔玛攸县店,沃尔玛株洲大巷路店,南区,湖广区,湖南,株洲,沃尔玛
沃尔玛株洲西店,沃尔玛株洲神龙城店,南区,湖广区,湖南,株洲,沃尔玛
四川永辉超市有限公司巴中万达店,永辉巴中万达店,西区,四川区,四川,巴中,永辉
成都幸福大润发商贸有限公司,大润发都江堰莲花南路店,西区,四川区,四川,成都,大润发
欧尚东升,欧尚成都双流店,西区,四川区,四川,成都,大润发
欧尚成都华阳店,欧尚成都华阳店,西区,四川区,四川,成都,大润发
欧尚成都金牛店,欧尚成都金牛店,西区,四川区,四川,成都,大润发
欧尚高新,欧尚成都高新店,西区,四川区,四川,成都,大润发
四川家乐福邛崃店,家乐福邛崃司马店,西区,四川区,四川,成都,家乐福
家乐福新都店,家乐福成都新都店,西区,四川区,四川,成都,家乐福
家乐福华阳店,家乐福成都天府大道店,西区,四川区,四川,成都,家乐福
家乐福大邑店,家乐福成都大邑店,西区,四川区,四川,成都,家乐福
成都家乐福超市有限公司府青路店,家乐福成都府青路店,西区,四川区,四川,成都,家乐福
成都家乐福超市有限公司红牌楼店,家乐福成都红牌楼店,西区,四川区,四川,成都,家乐福
成都家乐福超市有限公司,家乐福成都新光路店,西区,四川区,四川,成都,家乐福
沃尔玛(四川)百货有限公司成都盛邦街分店,沃尔玛成都盛邦街店,西区,四川区,四川,成都,沃尔玛
沃尔玛成都龙泉店,沃尔玛成都龙泉驿分店,西区,四川区,四川,成都,沃尔玛
沃尔玛成龙大道店,沃尔玛成都枫树街店,西区,四川区,四川,成都,沃尔玛
沃尔玛成都中海国际店,沃尔玛成都蜀西店,西区,四川区,四川,成都,沃尔玛
四川省沃尔玛彭州店,沃尔玛成都彭州店,西区,四川区,四川,成都,沃尔玛
沃尔玛成都西城店213,沃尔玛成都石人北路店,西区,四川区,四川,成都,沃尔玛
沃尔玛成都府河店,沃尔玛成都府河店,西区,四川区,四川,成都,沃尔玛
四川永辉达州大竹县天泰新天地店,永辉达州天泰新天地店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司德阳新城吾悦店,永辉德阳新城吾悦店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司自贡华商国际店,永辉自贡华商国际店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司龙泉万达广场店,永辉成都龙泉万达广场店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司新津荣信时代店,永辉成都新悦广场店,西区,四川区,四川,成都,永辉
四川永辉超市有限公司双铁广场店,永辉成都双铁路店,西区,四川区,四川,成都,永辉
