月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
(3046)灌云人民路华润苏果购物广场(807001)???购物广场,32227.451,17094.33,30028.266,32869.145,17782.303,17772.018,21011.254,13620.11,15771.638,20089.006,23861.785,13094.22,灌云县,东区,苏沪区,HRWJ-00165,苏果,12,1.0
(中山店)昆山润华商业有限公司,37963.285,22404.092,60672.72,23143.578,19889.648,28634.791,23518.73,44189.543,24842.025,31043.756,34425.945,27568.047,中山,南区,粤西区,RTM-0107,大润发,12,1.0
(北海店)昆山润华商业有限公司,66162.3,29020.209,81687.88,42100.434,35124.496,6251.21,42733.74,42857.88,17419.676,44919.598,52983.105,48223.92,北海,南区,广西区,RTM-0120,大润发,12,1.0
(厚街店)昆山润华商业有限公司,58619.977,22296.473,81703.17,35996.688,40020.99,47982.074,21011.254,61205.16,36257.69,44110.652,41833.2,43536.15,东莞,南区,粤赣区,RTM-0125,大润发,12,1.0
(厦门店)昆山润华商业有限公司,49808.18,15575.374,36480.438,26439.04,18738.559,24271.383,25562.207,21360.582,17419.676,17974.451,23861.785,20023.078,厦门,南区,福建区,RTM-0117,大润发,12,1.0
(国兴店)昆山润华商业有限公司,108123.9,80032.875,191638.22,90040.016,91406.2,90891.055,89429.11,99371.32,17419.676,119962.31,101561.68,100755.484,海口,南区,粤赣区,RTM-0119,大润发,12,1.0
(国贸店)昆山润华商业有限公司,25403.572,32307.205,81489.32,34857.605,35226.508,6251.21,30771.969,80446.76,68456.39,89011.375,66160.945,24383.543,海口,南区,粤赣区,RTM-0118,大润发,12,1.0
(新会店)昆山润华商业有限公司,8.950954e-05,7.856167e-05,0.00016403859,7.453894e-05,7.566992e-05,-0.00064453157,7.40332e-05,8.226378e-05,6.137827e-05,68845.516,72624.89,69171.49,江门,南区,粤西区,RTM-0114,大润发,3,0.25
(新塘店)昆山润华商业有限公司,50787.117,30274.3,46555.555,26984.697,21475.771,36802.465,27804.098,48520.35,35996.9,37273.035,41987.17,33744.035,广州,南区,湖广区,RTM-0115,大润发,12,1.0
(樟木头店)昆山润华商业有限公司,88749.87,22296.473,131467.23,55986.184,59428.39,58484.832,65634.26,82154.086,66256.56,85860.695,83930.44,64552.45,东莞,南区,粤赣区,RTM-0154,大润发,12,1.0
(海三店)佛山市南海润瑞商业有限公司,38405.07,18634.92,48972.78,19743.16,21061.76,28047.447,18234.02,39182.035,17419.676,32329.055,30798.475,33285.793,佛山,南区,粤西区,RTM-0156,大润发,12,1.0
(漳州店)昆山润华商业有限公司,22993.914,12419.268,30503.059,17525.95,14005.412,19096.154,12820.473,29045.016,19059.621,23248.77,22256.062,15488.366,漳州,南区,福建区,RTM-0144,大润发,12,1.0
(潮州店)昆山润华商业有限公司广州黄埔分公司,72078.72,22296.473,84837.65,48665.195,21475.771,56391.45,50435.61,84478.37,48935.164,61790.2,63768.67,42900.49,潮州,南区,粤赣区,RTM-0123,大润发,12,1.0
