月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
(3046)灌云人民路华润苏果购物广场(807001)???购物广场,32227.4524,17094.3306,30028.2642,32869.1477,17782.3025,17772.0166,,13620.109,15771.6372,20089.0063,,13094.2188,灌云县,东区,苏沪区,HRWJ-00165,苏果,12,1.0
(中山店)昆山润华商业有限公司,37963.2894,22404.0926,60672.7204,23143.5769,19889.6485,28634.7901,23518.7294,44189.5434,24842.0258,31043.7539,34425.9454,27568.0466,中山,南区,粤西区,RTM-0107,大润发,12,1.0
(北海店)昆山润华商业有限公司,66162.2928,29020.2091,81687.8872,42100.438,35124.4954,,42733.7401,42857.8781,,44919.5997,52983.1066,48223.9236,北海,南区,广西区,RTM-0120,大润发,12,1.0
(厚街店)昆山润华商业有限公司,58619.9745,,81703.1778,35996.6864,40020.9891,47982.0762,,61205.1627,36257.6913,44110.6544,41833.2017,43536.1523,东莞,南区,粤赣区,RTM-0125,大润发,12,1.0
(厦门店)昆山润华商业有限公司,49808.1836,15575.373,36480.4382,26439.0401,18738.559,24271.3824,25562.2079,21360.5819,,17974.4523,,20023.0788,厦门,南区,福建区,RTM-0117,大润发,12,1.0
(国兴店)昆山润华商业有限公司,108123.902519882,80032.8786,191638.22,90040.02094859854,91406.20729815422,90891.0573864467,89429.11268583864,99371.32054888587,,119962.30877616093,101561.67951137872,100755.4844,海口,南区,粤赣区,RTM-0119,大润发,12,1.0
(国贸店)昆山润华商业有限公司,,32307.2065,81489.3254,34857.6059,35226.5075,,30771.9692,80446.7581,68456.3947,89011.3751,66160.9486,,海口,南区,粤赣区,RTM-0118,大润发,12,1.0
(新会店)昆山润华商业有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68845.5105,72624.8919,69171.4915,江门,南区,粤西区,RTM-0114,大润发,3,0.25
(新塘店)昆山润华商业有限公司,50787.1201,30274.3036,,26984.6965,,36802.4664,27804.0988,48520.354,35996.898,37273.0361,41987.175,33744.0344,广州,南区,湖广区,RTM-0115,大润发,12,1.0
(樟木头店)昆山润华商业有限公司,88749.8661,,131467.2391,55986.1871,59428.3916,58484.8292,65634.2576,82154.0876,66256.5603,85860.6884,83930.4354,64552.4456,东莞,南区,粤赣区,RTM-0154,大润发,12,1.0
(海三店)佛山市南海润瑞商业有限公司,38405.0715,18634.919,48972.78,19743.1602,21061.7587,28047.448,18234.0186,39182.0357,,32329.055,30798.474,33285.7947,佛山,南区,粤西区,RTM-0156,大润发,12,1.0
(漳州店)昆山润华商业有限公司,22993.9129,12419.2676,30503.0559,17525.9491,14005.4121,19096.1524,12820.4731,29045.0161,19059.6214,23248.7723,22256.0622,15488.3657,漳州,南区,福建区,RTM-0144,大润发,12,1.0
(潮州店)昆山润华商业有限公司广州黄埔分公司,72078.7164,,84837.649,48665.1987,,56391.4438,50435.6097,84478.3723,48935.1643,61790.1991,63768.6725,42900.4888,潮州,南区,粤赣区,RTM-0123,大润发,12,1.0
(番禺店)昆山润华商业有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84290.9405,95179.3604,90864.009,广州,南区,湖广区,RTM-0124,大润发,3,0.25
