填补策略,测试集样本数,平均MAE（测试集）,平均MAPE(%)（测试集）,平均ACF差值（测试集）,平均PACF差值（测试集）,平均DTW距离（测试集）,平均均值差值（测试集）,平均方差差值（测试集）,平均KS统计量（测试集）,平均重构损失（测试集）,平均KL散度（测试集）,生成时间
channel,95,12486.43474530866,84.77509585627313,0.1583866888559882,18.981860625074457,14736.901387833348,3296.3190893573956,528573079.8050846,0.6078431372549019,0.012560067721642554,0.000108819,2026/3/6 18:23
city,34,14218.881470227429,56.28958852897191,0.17385298074567698,1.8824461411841356,16154.459300354954,5757.002862617632,428473401.9564602,0.3783783783783784,0.023881470714353353,0.004256988,2026/3/6 18:23
month,130,14072.18245,72.19031463,0.133558085,10.29474014,16613.7705,5148.235493,585967610.3,0.520960141,0.037086748,0.00015157,2026/3/6 18:23
cross,9,22276.788673792253,100.01565555170382,0.097676601,17.473773722738752,29402.421983506945,8044.302514156832,1347195600.659523,0.5833333333333334,0.039773848,0.089768774,2026/3/6 18:23
ts_similar,120,7306.624927068453,47.68091857696088,0.10431606929455335,2.840880063,6161.299312,3495.317504910716,39628358.76399581,0.5142857142857142,0.005037673,9.911581873893738e-05,2026/3/6 18:23
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,平均MAE（测试集）,12486.4347,14218.8815,14072.1825,22276.7887,7306.6249,,,,,
,,平均MAPE(%)（测试集）,84.7751,56.2896,72.1903,100.0157,47.6809,,,,,
,,平均ACF差值（测试集）,0.1584,0.1739,0.1336,0.0977,0.1043,,,,,
,,平均PACF差值（测试集）,18.9819,1.8824,10.2947,17.4738,2.8409,,,,,
,,平均DTW距离（测试集）,14736.9014,16154.4593,16613.7705,29402.4220,6161.2993,,,,,
,,平均均值差值（测试集）,3296.3191,5757.0029,5148.2355,8044.3025,3495.3175,,,,,
,,平均方差差值（测试集）,528573079.8051,428473401.9565,585967610.2963,1347195600.6595,39628358.7640,,,,,
,,平均KS统计量（测试集）,0.6078,0.3784,0.5210,0.5833,0.5143,,,,,
,,平均重构损失（测试集）,0.0126,0.0239,0.0371,0.0398,0.0050,,,,,
,,平均KL散度（测试集）,0.0001,0.0043,0.0002,0.0898,0.0001,,,,,
